time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	6.95326e-310	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.4485	0.251375	-0.00152548	8.67362e-18	-5.55112e-17	lidar	0.000275668	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.47219	0.248794	-0.00727071	6.31089e-06	1.80962e-06	radar	0.124879	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46432	0.25098	-0.03134	-2.75957e-05	-1.51073e-05	lidar	0.00679819	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.38455	0.25134	-1.83794	0.000141507	0.00024005	radar	0.691214	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.28971	0.250595	-2.02306	0.00414155	0.00548459	lidar	0.199849	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.08304	0.232635	-4.40334	0.117645	0.178603	radar	1.76083	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	7.91657	0.177691	-4.76232	0.280676	0.420498	lidar	0.539005	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.72578	0.143113	-4.72471	0.255737	0.345984	radar	0.18169	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.53771	0.141508	-4.571	0.138951	-0.0575146	lidar	0.0665087	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.42161	0.104043	-2.80722	0.18735	0.240799	radar	0.705904	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.31193	0.046558	-2.71239	0.266346	0.520366	lidar	0.0883166	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.15653	0.0069885	-3.45099	0.259812	0.316999	radar	0.137208	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.02875	-0.0515207	-3.36296	0.300927	0.412355	lidar	0.0461552	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	6.90276	-0.127022	-2.7387	0.425305	0.893448	radar	0.439513	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.81647	-0.23902	-2.75518	0.601357	1.36554	lidar	0.134151	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.69714	-0.32731	-3.2389	0.649091	1.21875	radar	0.0741005	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.61494	-0.45292	-3.28015	0.765931	1.42593	lidar	0.0655753	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.55961	-0.567294	-2.72225	0.950436	2.05337	radar	0.169287	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.52686	-0.662246	-2.50185	1.02282	1.92557	lidar	0.0886919	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.47003	-0.815174	-2.82678	1.17583	2.12377	radar	0.114799	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.44482	-1.02452	-3.3441	1.36549	2.389	lidar	0.121248	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.34699	-1.09606	-2.47321	0.989765	-0.795582	radar	1.5322	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.25104	-1.23018	-2.76149	0.932981	-0.89018	lidar	0.0419793	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.33969	-1.25214	0.692007	1.40421	2.9945	radar	6.10966	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.31658	-1.45394	-1.47089	1.89912	4.7556	lidar	3.95231	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.31526	-1.50418	0.0634601	1.98164	3.72534	radar	3.63703	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.29844	-1.6571	-0.921493	2.0557	2.94747	lidar	5.92895	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.34646	-1.83896	-2.76874	2.00926	2.13755	radar	2.94831	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.34195	-2.06916	-3.51748	1.55926	-0.00241253	lidar	2.27549	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.32778	-2.27417	-4.38822	1.55153	0.105253	radar	0.565979	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.309	-2.52599	-4.54957	1.5598	0.0860669	lidar	0.142451	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.33991	-2.73047	-4.35021	1.67365	0.722396	radar	0.22209	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.3962	-2.87045	-3.58332	1.81434	1.15063	lidar	0.28903	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.42394	-2.99182	-2.6442	1.83812	0.753233	radar	0.225333	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.43739	-3.13492	-2.77204	1.84443	0.587794	lidar	0.0217292	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.4856	-3.30273	-3.52277	1.92914	0.949125	radar	0.163847	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.53681	-3.46042	-3.46117	2.01353	1.08791	lidar	0.00855316	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.6229	-3.61203	-3.64112	2.12855	1.36014	radar	0.0341778	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.72981	-3.75059	-3.6072	2.27345	1.63272	lidar	0.0723356	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.81029	-3.8771	-2.83904	2.31002	1.3424	radar	0.181212	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.86992	-4.03216	-2.97853	2.25044	0.804359	lidar	0.104676	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	6.93354	-4.16446	-2.90849	2.21051	0.457073	radar	0.101341	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	6.96643	-4.32699	-3.01569	2.07655	-0.158789	lidar	0.115003	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.01047	-4.45235	-2.60437	2.00515	-0.470003	radar	0.0912164	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.04335	-4.55838	-2.53619	2.00798	-0.362546	lidar	0.00717323	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.10543	-4.69008	-3.11295	2.03898	-0.0940875	radar	0.0788483	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.14122	-4.84675	-3.22672	1.98918	-0.262724	lidar	0.0220071	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.24001	-5.01742	-4.05916	2.08224	0.2681	radar	0.256714	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.31567	-5.17106	-3.92309	2.13665	0.426697	lidar	0.0329334	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.38058	-5.30337	-3.23409	2.13405	0.271484	radar	0.251409	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
1477010446119841	7.44562	-5.44841	-3.26867	2.13391	0.210365	lidar	0.00237555	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.5391	-5.58139	-3.21401	2.17535	0.313904	radar	0.119309	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.63512	-5.67954	-3.11232	2.28631	0.681671	lidar	0.037049	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.70747	-5.79206	-2.97573	2.28636	0.538313	radar	0.17036	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.75267	-5.94025	-3.02408	2.1714	-0.00785395	lidar	0.0799033	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.86322	-6.08732	-4.21852	2.22163	0.289422	radar	0.34367	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	7.95539	-6.23895	-4.24384	2.22019	0.227609	lidar	0.00202073	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.05749	-6.37682	-3.30685	2.22195	0.0996048	radar	0.40508	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.16084	-6.47142	-3.18363	2.31215	0.423841	lidar	0.0414579	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.23342	-6.58309	-3.00381	2.29278	0.261032	radar	0.334737	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.27645	-6.735	-3.02884	2.15483	-0.320784	lidar	0.0992223	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.35446	-6.85918	-3.35306	2.15122	-0.224783	radar	0.221852	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.44093	-6.96798	-3.27768	2.21278	0.0529085	lidar	0.0191838	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.50344	-7.07985	-3.2051	2.18746	-0.0473565	radar	0.202926	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.54933	-7.22565	-3.30366	2.09365	-0.39274	lidar	0.0425576	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.64643	-7.38167	-4.16806	2.12317	-0.113669	radar	0.184754	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.72857	-7.53725	-4.18328	2.12787	-0.0756506	lidar	0.00491496	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.79335	-7.67102	-2.8611	2.08011	-0.386168	radar	0.481285	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.85253	-7.77213	-2.74347	2.10814	-0.196595	lidar	0.0302267	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	8.92189	-7.90376	-3.35631	2.10516	-0.121554	radar	0.103219	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	8.96928	-8.03891	-3.36445	2.06041	-0.270133	lidar	0.0094486	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	8.99883	-8.14638	-2.65791	1.99683	-0.499228	radar	0.579129	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	9.04886	-8.24615	-2.60635	2.03428	-0.263123	lidar	0.0161352	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	9.12022	-8.39367	-3.46216	2.04604	-0.114988	radar	0.264235	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	9.15647	-8.54102	-3.51706	1.98874	-0.306824	lidar	0.0102136	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
1477010447444637	9.19595	-8.67384	-2.82934	1.93025	-0.553792	radar	0.123201	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
1477010447499613	9.23984	-8.77789	-2.72168	1.97443	-0.284848	lidar	0.0204155	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
